update,avg_reward_jb0,avg_reward_jb1,episodes_completed,goals_reached,collisions,critic_loss,actor_loss,elapsed_sec,active_steps_jb0,active_steps_jb1,max_goal_distance,rolling_success_rate
261,7.4587994533507045,-1.3137742368287273,4,4,4,42.929962158203125,-0.07827198505401611,18100.477604150772,156,183,1.5,0.3833
262,0.8864387668310296,-4.920787876462255,5,3,7,42.25697326660156,-0.08680950105190277,18214.856817483902,109,149,1.5,0.3788
263,0.8850878137995752,4.364807306385064,4,5,3,46.663963317871094,-0.07432536780834198,18326.78759598732,89,165,1.5,0.4028
264,0.0,-3.497371075844984,1,1,0,4.028845310211182,-0.10063189268112183,18436.62020254135,34,185,1.5,0.4118
265,7.868921989712871,-6.646516366335543,4,4,4,39.761966705322266,-0.0856398344039917,18548.638818740845,153,145,1.5,0.4306
266,-3.825891836731341,4.342554093169174,4,3,4,42.502838134765625,-0.06762045621871948,18660.987380504608,174,92,1.5,0.4412
267,3.1942062593893263,1.015636931667905,7,7,7,58.43424987792969,-0.0731743574142456,18774.742680311203,147,185,1.5,0.4605
268,5.096064303616926,-8.758729157855479,3,2,4,28.407018661499023,-0.08521339297294617,18885.013278484344,110,179,1.5,0.4459
269,0.8348413100143324,-8.549659598817112,2,1,4,54.110084533691406,-0.0769791454076767,18995.2930021286,48,200,1.5,0.4429
270,2.839283342942477,-3.9865735009439818,8,6,9,59.35017395019531,-0.07055076956748962,19113.51053571701,179,147,1.5,0.4286
271,-9.355209122076463,-1.4352362891429826,5,3,8,63.847076416015625,-0.09556205570697784,19225.954744577408,70,182,1.5,0.407
272,-1.7748724890867473,-9.906196691994259,4,1,6,27.67194938659668,-0.08610377460718155,19337.25593304634,170,134,1.5,0.3929
273,-10.42644302832845,2.4484268790937005,2,2,3,62.36415481567383,-0.08943389356136322,19447.435284137726,200,37,1.5,0.375
274,0.8294439247986505,-3.80885042275578,2,1,3,46.76980972290039,-0.1196889877319336,19558.37538957596,200,26,1.5,0.3659
275,-6.458295598220301,-5.2497380606863056,2,0,3,14.515225410461426,-0.09411855041980743,19668.888974666595,181,96,1.5,0.3333
276,-10.308074982303474,-4.82525797231922,2,0,3,10.521245002746582,-0.10511283576488495,19780.06858444214,163,101,1.5,0.3108
277,-2.547312277586297,-6.340900561480703,1,0,2,6.762999057769775,-0.10251685231924057,19892.386236190796,175,56,1.5,0.2581
278,6.238644847037284,1.0522904004645994,2,2,2,37.295570373535156,-0.08029883354902267,20002.759768009186,47,200,1.5,0.2667
279,3.455531233584041,1.1895827566464376,4,4,4,31.678342819213867,-0.08297165483236313,20116.594954252243,168,165,1.5,0.2969
280,1.7110983330187945,-5.59830619287022,2,1,2,18.42737579345703,-0.12843675911426544,20227.94338274002,155,53,1.5,0.2692
281,6.175977290870193,-2.431597765846431,3,3,3,24.582550048828125,-0.09481436014175415,20341.57362151146,159,165,1.5,0.2917
282,-3.7344568068734945,1.16167574027126,4,3,6,55.37220001220703,-0.07952194660902023,20453.727147579193,168,150,1.5,0.3333
283,-4.445358055186424,5.674015165632731,6,6,6,74.87971496582031,-0.05016220360994339,20566.422406196594,138,145,1.5,0.3571
284,-3.319938544407344,-4.769510789754054,5,2,8,53.44449234008789,-0.08487595617771149,20679.314344882965,108,167,1.5,0.3387
285,-4.574738709878177,3.9427177679439422,4,3,4,22.911224365234375,-0.08276780694723129,20792.315238714218,157,168,1.5,0.3636
286,-2.2421162413697346,5.491261154795569,3,3,4,45.87492752075195,-0.06273926794528961,20903.7216360569,151,110,1.5,0.3971
287,-8.888531810787985,-6.6609985068432715,3,0,6,29.724891662597656,-0.11016521602869034,21015.409091711044,66,157,1.5,0.375
288,-1.6615589765473815,-0.05861622229596506,10,7,12,76.76781463623047,-0.07198259234428406,21131.939381599426,139,185,1.5,0.3636
289,7.8057414290809195,-1.292037128456673,5,6,5,63.89329528808594,-0.07072160392999649,21243.996487379074,111,159,1.5,0.3778
290,-10.112305532302049,6.375027160222688,5,4,6,55.27068328857422,-0.076087087392807,21356.162729263306,86,188,1.5,0.3854
291,-0.39701619058700555,-2.3100456347593523,6,4,7,52.32959747314453,-0.06611721962690353,21471.38962483406,126,181,1.5,0.3725
292,-2.260452108222396,-1.5607712237664935,3,2,4,40.86090850830078,-0.08619476109743118,21582.674711227417,175,113,1.5,0.37
293,-2.6603942365605064,1.9712896259219534,4,4,5,43.24879455566406,-0.10615669190883636,21693.95134472847,154,116,1.5,0.3646
294,-9.945455868924752,4.602538382258959,4,2,5,35.167381286621094,-0.08542343974113464,21805.92058444023,173,85,1.5,0.3723
295,-1.1660562760675501,2.2099057893768013,6,6,7,58.615570068359375,-0.05598191171884537,21918.047563552856,158,128,1.5,0.3878
296,-9.84168133550121,7.156292425631669,2,1,3,16.20335578918457,-0.10727304220199585,22028.071551799774,73,199,1.5,0.375
297,5.835288154949067,-10.018290140759147,2,1,3,61.097137451171875,-0.10452966392040253,22139.748503923416,188,33,1.5,0.3936
298,0.12491723317416081,0.40778692481804885,3,2,3,25.941579818725586,-0.09843534976243973,22251.215538024902,105,146,1.5,0.4
299,-2.8759838718368376,6.85625978853061,6,6,5,47.471073150634766,-0.07225450128316879,22369.334656476974,177,95,1.5,0.3902
300,-1.2038090124377874,-0.4250312867116855,3,2,5,34.825416564941406,-0.0727648064494133,22480.1349067688,80,191,1.5,0.3846
301,-3.7012125843614014,-4.798679854402552,4,2,6,39.49781036376953,-0.11395662277936935,114.26391434669495,95,181,1.5,0.25
302,-1.0880562379147016,-3.739636551490751,8,5,11,56.058815002441406,-0.08716147392988205,226.7279896736145,164,174,1.5,0.2917
303,5.361299571310904,-10.230669312238591,3,2,4,21.259872436523438,-0.08943028748035431,337.231972694397,132,150,1.5,0.3
304,-9.70828645463471,0.8740245692016986,2,2,3,20.670751571655273,-0.07605836540460587,447.26527857780457,165,57,1.5,0.3235
305,-0.5405622701065894,2.744020592224837,5,4,6,63.1439094543457,-0.07542946189641953,558.5034906864166,121,174,1.5,0.3409
306,-3.1029683745579177,-9.481546944019541,5,1,8,43.77848815917969,-0.09140187501907349,670.1883568763733,93,199,1.5,0.2963
307,8.168489695603796,12.765454159798981,4,7,1,51.10417175292969,-0.05865100026130676,780.7442507743835,171,125,1.5,0.371
308,1.8959753487429856,2.4106561353124727,4,4,4,38.042320251464844,-0.10407264530658722,114.7488043308258,145,154,1.5,0.5
309,-1.9639553644982162,-1.6313798336712946,3,2,4,32.85566711425781,-0.08216442167758942,227.33101987838745,78,200,1.5,0.4286
310,-10.913906053728141,-9.771644936822526,1,0,3,22.597217559814453,-0.1070074811577797,338.9959669113159,200,81,1.5,0.375
311,-5.191908160911996,7.934364923012412,2,1,2,39.827415466308594,-0.09919716417789459,449.87360310554504,200,50,1.5,0.35
312,-9.812382533341683,-4.165922292599002,2,1,3,77.64483642578125,-0.06816762685775757,560.0221183300018,190,28,1.5,0.3333
313,4.548712723575437,6.644822708168237,5,6,4,60.96118927001953,-0.06403855979442596,671.9618594646454,110,178,1.5,0.4118
314,9.643436193344996,-1.3702014906803577,3,3,3,40.43640899658203,-0.05666100233793259,782.5948436260223,97,200,1.5,0.425
315,4.430872745353305,2.030917872670631,4,4,3,53.356040954589844,-0.08067844063043594,893.9900562763214,93,191,1.5,0.4375
316,4.166184164253444,-4.01507395973439,5,4,7,73.20746612548828,-0.06670423597097397,1005.6286752223969,137,150,1.5,0.431
317,1.9481445956058951,-9.219671566253895,3,2,4,30.49718475341797,-0.0732380598783493,1116.6770868301392,119,170,1.5,0.4219
318,0.9008400743334753,-1.217660677398867,5,5,5,46.599491119384766,-0.06271715462207794,1228.5271809101105,118,146,1.5,0.4242
319,-9.031051186247982,-1.490779134731104,4,1,6,46.506126403808594,-0.060295671224594116,1339.8629748821259,93,170,1.5,0.3971
320,6.273601967009562,13.44836352098718,3,6,1,32.825050354003906,-0.06682592630386353,1450.3573479652405,157,150,1.5,0.4583
321,-3.7705710309522686,2.5647356288994,2,2,2,33.03083801269531,-0.08370929956436157,1560.8471038341522,82,197,1.5,0.4722
